Name,观影人数,Priority,种类,Seriousness,状态,Brief Desc,Out,完成日期,评级,短评
希德尼娅的骑士,自己,❗️,漫画,Mild,Canceled,,Yes,,,
十字架的六人（连载中）,自己,❗️,漫画,Fun,Canceled,,Yes,,2 难以下咽,比较猎奇吧…实质很无聊且暴力…
Buzzy Noise,自己,❗️,漫画,Fun,Canceled,,Yes,,,
非平面unflattening,自己,❗️,漫画,,Canceled,,Yes,,,
"Secret Comics Japan：
Underground Comics Now",自己,❗️,漫画,,Canceled,,Yes,,,
控制论,自己,❗️,书,Serious,Canceled,,Yes,,,
Brain Structure 小岛秀夫 Podcast,自己,❗️,播客,Serious,Canceled,,Yes,,,
妄想代理人,,❗️❗️❗️,动画,Serious,Canceled, https://www.google.com.hk/search?newwindow=1&sca_esv=582ec9845e97149d&q=%E4%BB%8A%E6%95%8F&si=AKbGX_oBDfquzodaRrfbb9img4kPQ4fCBZjeqAiaW1svvC8uXpNQR3YCWN29EISXGHmmGsoXtswpiK0r-B1A1FUevDsljq1QKr3ZX5IExo3yBgNErOrxNkteXCFiN1H7MJQEJ6Tgw1FDpXeCHaiz-XQSEBWap21udtbmeb0bRDcT0eSM3Og6sfr_2S4pt5AkHTdF_N9W5LKV6e-2P3uQEdmesaDiNIGv_K4kBD-dS_AziOPDN-Nq0_Loa1uVLWKnZq0Qxc9V9O2C&sa=X&ved=2ahUKEwjgu9KTz8aFAxWL4skDHYBMC0cQmxMoAHoECBkQAg,Yes,,,
死亡代理人,,❗️❗️❗️,动画,Mild,Canceled,,Yes,,3.5 挺新的,所探讨的内容应该挺深入的，但是画面过于黑暗压抑，有点看不了
无限的未知,,❗️❗️❗️,动画,Mild,Canceled,感觉不错啊，https://www.carousell.com.hk/p/%E5%B9%B3%E4%BA%95%E4%B9%85%E5%8F%B8-%E7%95%AB%E9%9B%861-hisashi-hirai-illustration-works-%E6%8F%92%E7%95%AB%E9%9B%86-%E6%A9%9F%E5%8B%95%E6%88%B0%E5%A3%AB-mobile-suit-gundam-seed-%E7%89%B9%E7%A8%AE%E8%A8%88%E5%8A%83-%E9%AB%98%E9%81%94-freedom-justice-%E5%9F%BA%E6%8B%89-kira-%E6%8B%89%E5%85%8B%E7%B5%B2-lacus-%E9%98%BF%E6%96%AF%E8%98%AD-athrun-%E5%8D%A1%E5%8A%A0%E8%8E%89-%E5%8D%A1%E5%98%89%E8%8E%89-cagalli-s-cry-ed-infinite-ryvius-wild-knights-gulkeeva-1145748871/（高达seed）人设,Yes,,,感觉偏偶像剧了，婆婆妈妈，画风古早，看了一集但追不下去
JOJO的奇妙冒险,,❗️❗️❗️,动画,Fun,Canceled,,Yes,,,
死亡代理人,,❗️❗️❗️,动画,,Canceled,,Yes,,,
龙与魔女,,❗️❗️❗️,动画,,Canceled,,Yes,,,
contact,,❗️❗️❗️,电影,Serious,Canceled,,Yes,,,
Corner Office,,❗️❗️❗️,电影,Mild,Canceled,,Yes,,,
Wonka,,❗️❗️❗️,电影,Fun,Canceled,,Yes,,,
pain and glory,,❗️❗️❗️,电影,,Canceled,,Yes,,,
首尔之春,,❗️❗️❗️,电影,,Canceled,,Yes,,,
蒸汽男孩,,❗️❗️❗️,电影,,Canceled,,Yes,,,
